num,Researcher,conc_beam,a,b,d,s_ratio,e_s_ratio,fc,Ec,shear_s_exp,Es,ag,pv
1,Do,B50RQ-N1,750,200,250,0.008,0.008,38.53,32940,1.0394,191000,20,0.903
2,Do,B50RQ-N2,750,200,250,0.008,0.008,38.53,32940,1.2944,191000,20,0.903
3,Do,B50RQ-H1,750,200,250,0.008,0.008,37.33,32300,0.9609,191000,20,0.88
4,Do,B50RQ-H2,750,200,250,0.008,0.008,37.33,32300,1.1771,191000,20,0.88
5,Do,B50QQ-N1,750,200,250,0.008,0.008,36.53,32590,0.9904,191000,20,0.845
6,Do,B50QQ-N2,750,200,250,0.008,0.008,36.53,32590,0.9855,191000,20,0.845
7,Do,B50QQ-H1,750,200,250,0.008,0.008,36.54,32270,0.9659,191000,20,0.87
8,Do,B50QQ-H2,750,200,250,0.008,0.008,36.54,32270,0.9806,191000,20,0.87
9,Do,B50RL-N1,750,200,250,0.008,0.008,44.82,43100,0.9512,191000,20,0.423
10,Do,B50RL-N2,750,200,250,0.008,0.008,44.82,43100,0.8286,191000,20,0.423
11,Do,B50RL-H1,750,200,250,0.008,0.008225,32.13,32090,0.9022,191000,20,0.792
12,Do,B50RL-H2,750,200,250,0.008,0.008225,32.13,32090,1.0934,191000,20,0.792
13,Nakarai,LM250A,750,200,250,0.0079,0.006299,34.7,30000,1.086,191000,20,0.539
14,Nakarai,LM250B,750,200,250,0.0079,0.00641,32.1,28000,0.919,191000,20,0.539
15,Nakarai,LM500A,1500,200,500,0.0077,0.005578,34.7,30500,0.7015,191000,20,0.539
16,Nakarai,LM500B,1500,200,500,0.0077,0.005714,32.1,29400,0.6085,191000,20,0.539
17,Nakarai,LM1000A,3000,200,1000,0.0077,0.005437,34.7,30500,0.5483,191000,20,0.539
18,Nakarai,LM1000B,3000,200,1000,0.0077,0.005669,32.1,29400,0.545,191000,20,0.539
19,Nakarai,RY250A,750,200,250,0.0079,0.005777,34.7,28900,1.356,191000,20,0.903
20,Nakarai,RY250B,750,200,250,0.0079,0.005768,32.1,25800,1.217,191000,20,0.903
21,Nakarai,RY500A,1500,200,500,0.0077,0.005193,35.8,27300,0.7505,191000,20,0.903
22,Nakarai,RY500B,1500,200,500,0.0077,0.004949,32.6,26900,0.942,191000,20,0.903
23,Nakarai,RY1000A,3000,200,1000,0.0077,0.005373,36.8,27300,0.7478,191000,20,0.903
24,Sato,V-HAS25-A,750,300,250,0.0155,0.010437,121,46400,1.5733,200000,20,0
25,Sato,V-HAS25-B,750,300,250,0.0155,0.010189,121,46400,1.6933,200000,20,0
26,Sato,V-LAS25-A,750,300,250,0.0155,0.013891,117,46500,1.7067,200000,20,0
27,Sato,V-LAS25-B,750,300,250,0.0155,0.014121,117,46500,1.76,200000,20,0
28,Sato,V-HAS50-A,1500,300,500,0.0159,0.010769,117,47300,1.18,201000,20,0
29,Sato,V-HAS50-B,1500,300,500,0.0159,0.010769,117,47300,1.2133,201000,20,0
30,Sato,V-LAS50-A,1500,300,500,0.0159,0.014534,124,48000,1.3133,201000,20,0
31,Sato,V-LAS50-B,1500,300,500,0.0159,0.014386,124,48000,1.4267,201000,20,0
32,Sato,V-HAS100-A,3000,300,1000,0.0159,0.010434,123,47300,0.8467,201000,20,0
33,Sato,V-HAS100-B,3000,300,1000,0.0159,0.010293,123,47300,0.8,201000,20,0
34,Sato,V-LAS100-A,3000,300,1000,0.0159,0.015099,126,50700,0.9867,201000,20,0
35,Sato,V-LAS100-B,3000,300,1000,0.0159,0.015006,126,50700,1.0367,201000,20,0
36,Sagaseta,BG01,1600,135,465,0.01,0.01,80.2,36630,0.9767,200000,10,0.7
37,Sagaseta,BG02,1600,135,465,0.01,0.01,80.2,36630,1.0053,200000,10,0.7
38,Sagaseta,BL01,1600,135,465,0.01,0.01,68.44,34370,0.7465,200000,10,0
39,Sagaseta,BL02,1600,135,465,0.01,0.01,68.44,34370,0.8613,200000,10,0
40,Collins,B100,2800,300,925,0.01,0.01,36,26820,0.8108,200000,10,0.539
41,Collins,BH100,2800,300,925,0.00756,0.00756,99,39930,0.6955,200000,10,0
